Companies,URL,Description,Industry,Sub-Industry,Expert Collections,Markets,Mosaic (Overall),Country,Total Funding (M),All Investors,Latest Funding Amount (M),Latest Funding Round,Latest Funding Date,Total Headcount,12 Month Headcount Change %,Company Status,Founded Year,Your Collections,Team Tag
"RoBran Industries, Inc",robraninc.com,"We are a zero emission waste to energy/manufacturing company committed to environmental improvement. The technology being used is off the shelf, but with operating improvements. As a result of having contracts already in place for our products, like diesel, plants will be profitable upon the start of operation. 
Products made from municipal waste and tires at each plant:

- 200 mil. gallons of low sulfur synthetic diesel fuel, annually 
- 2 mil. gallons of pure distilled water from steam, daily
- 50 mil. sq.ft. of formaldehyde free particle board, annually 
- an aggregate for concrete
- 246MW of base load green electric power to the National grid
- pure liquid CO2 for food & pharmaceutical industry use

RoBran Industries has prepared a concept plan for the facility including the performance requirement. Location for the first facility has been selected, with approval and support from state and local government representatives. Engineering firms have also been interviewed and selected.",,,Oil & Gas Tech,,,,,,,,,,0%,Dead / Inactive,,,
BJG Trading,bjgtrading.com,"BJG Trading is a company that provides import/export services and acts as a manufacturer's representative in various business sectors. The company offers supply chain solutions and procurement services, and facilitates market expansion for manufacturers and vendors. BJG Trading serves clients in the chemical products industry, supplying materials and products for sectors such as water treatment, swimming pool maintenance, and food additives. It was founded in 2005 and is based in Woodstock, Georgia.",Basic Materials,,,,,United States,,,,,,,0%,Alive / Active,2005,,
Noble Water Technologies,noblewater.com,"Noble Water Technologies is a provider of high purity water equipment, systems and service, service deionization and resin regeneration. Noble Water Technologies serves the pharmaceutical, laboratory, food and beverage, automotive, specialty chemical, and power generation industries throughout Texas. with clients ranging from end users to consulting and engineering firms, to equipment representatives and contractors.",Water,Purification,,,,United States,,Evoqua Water Technologies,,,,,0%,Acquired,,,
Ventes Techniques Nimatec,nimatec.com,"Ventes Techniques Nimatec is a manufacturer representative agency for plumbing, heating, and HVAC/R products in residential, commercial, and industrial markets. The company offers products including valves, fittings, pump accessories, and water treatment systems. It was founded in 1983 and is based in Mercier, Quebec.",Construction,,,,,Canada,,,,,,,0%,Alive / Active,1983,,
Valley Technical Sales,valleysales.com,"Valley Technical Sales is a manufacturers representative and distributor of mechanical and instrumentation equipment across various industries. The company provides products for the process, power, waste water treatment, OEM, food/flavor, facility management, HVAC, and other sectors. It was founded in 1987 and is based in United States.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1987,,
H Clay Moore & Associates,hclaymoore.com,"H. Clay Moore and Associates is a manufacturer’s representative company serving the Southeast, focusing on electric utilities, pulp and paper mills, municipal waste water treatment, and general industry. The company provides customer service and technical support to its clients. Its clientele primarily includes electric utilities, pulp and paper mills, and various industrial sectors. It was founded in 1898 and is based in Alpharetta, Georgia.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1898,,
Heartland Controls,heartland-controls.com,"Heartland Controls is a manufacturers' representative and distributor of process control instrumentation within various industrial sectors. The company provides flow, level, temperature, pressure, and analytical measurements, and heating and thermal imaging products. Heartland Controls serves sectors including power and utilities, oil refining, gas transmission, pharmaceuticals, chemicals, food, cement, and water and wastewater management. It is based in Mokena, Illinois.",Machinery & Equipment,,,,,United States,,,,,,,12.50%,Alive / Active,,,
Harcro Sales,harcrosales.com,"Harcro Sales specializes in manufacturers' representative services within the plumbing, heating, water works, air-conditioning, and refrigeration sectors. The company focuses on growing market share, introducing new products, and strengthening existing customer bases for manufacturers. Harcro Sales primarily serves these trades. It was founded in 1977 and is based in Livermore, California.",Wholesale,,,,,United States,,,,,,,0%,Alive / Active,1977,,
Comfort Sales Agency,comfortsales.com,"Comfort Sales Agency is a manufacturers' representative specializing in HVAC equipment for residential and commercial use. The company offers products including boilers, water heaters, pumps, infra-red heaters, and accessories for hydronic heating systems. Comfort Sales Agency serves the HVAC industry with a focus on providing technical support. It was founded in 1974 and is based in Edwardsville, Illinois.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1974,,
CFM-San Diego,cfmsd.com,"CFM-San Diego is a Manufacturer's Representative and Distributor that focuses on industrial process instrumentation and controls in various sectors. The company provides products for monitoring and controlling process variables including pressure, flow, temperature, level, density, gas detection, and power support. CFM-San Diego serves markets such as Water, Wastewater, Desalination, Power Generation, Biofuel Production, Biomass Management, Biopharm/Biotech, OEM Account, and Industrial Facility Maintenance. It was founded in 1990 and is based in Carlsbad, California.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1990,,
Christian Power Equipment,cpower.net,"Christian Power Equipment, Inc. is a manufacturer's representative that sells capital equipment, parts, and services across various heavy industries. The company provides power generation equipment, process industry components, and technical support including inspections and advisory services. Christian Power Equipment serves sectors such as power generation, petrochemical, refining, food processing, and water/wastewater industries. It is based in Walnut Creek, California.",Construction,,,,,United States,,,,,,,0%,Alive / Active,,,
China Vending & Kiosk Show,selfserviceshow.com,"The China Vending & Kiosk Show was launched in 2004 and has grown in line with the development of the vending retail market in China since then. Key exhibiting categories at the show include automatic vending machines for food, beverages, medicines, books and newspapers. The show also covers self-service systems such as water and beverage dispensers, laundry machines and coin-operated amusement machines. Products at the show also include self-service terminals, solutions and equipment, together with parts and accessories for vending machines. Show visitors comprise representatives of organisations within the global automatic vending industry, distributors, agents, supermarkets, retailers, service providers, government and purchasing departments in corporations.",Consulting & Outsourcing,,New Retail Formats,,,China,,United Business Media,,,,,0%,Acquired,,,
Coombs-Hopkins Company,coombshopkins.com,"Coombs-Hopkins Company is a manufacturer's representative in the municipal market for water and wastewater treatment equipment. The company provides solutions for water and wastewater treatment and represents equipment manufacturers. Coombs-Hopkins serves the municipal sector with a focus on treatment projects. It was founded in 1984 and is based in Carlsbad, California.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1984,,
CM Hall Associates,cmhallass.com,"CM Hall Associates, Inc. supplies engineered products for industrial sectors, including power, steel, oil & gas, and chemicals. The company acts as a manufacturer's representative, focusing on water treatment, process optimization, and equipment reliability across these sectors. CM Hall Associates serves utilities, industrial manufacturing, and chemical processing. It was founded in 1995 and is based in Canonsburg, Pennsylvania.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1995,,
Condor Construction,condor-inc.com,"Condor Construction specializes in the construction of commercial aquatic facilities within the construction industry. The company offers services such as the construction of competition swimming pools, recreational aquatic facilities, water and play parks, hotel and resort pools, and various types of fountains. They primarily serve the commercial sector, collaborating with architects, owners' representatives, and subcontractors to ensure high-quality construction and safety standards. It is based in El Monte, California.",Construction,,,,,United States,,,,,,,0%,Alive / Active,,,
Trilex,trilexinc.ca,"Trilex is a manufacturer representative specializing in hydronic heating systems within the heating industry. The company offers products including boilers, water heaters, filtration systems, and chimneys for hot water heating networks. Trilex serves the commercial, industrial, and residential sectors with its hydronic heating solutions. It was founded in 2008 and is based in Mascouche, Quebec.",Manufacturing,,,,,Canada,,,,,,,0%,Alive / Active,2008,,
"Thompson Design Consultants, P.C",thompsondesignconsultants.com,"Thompson Design Consultants, P.C is a consulting engineering firm with a focus on mechanical and electrical services for various property types. The company offers feasibility and adaptive reuse studies, HVAC system deficiency analyses, energy studies, property condition assessments, lender and peer plan reviews, and owner's representative design-build services. They also specialize in water source heat pump systems and elevator modernizations. It was founded in 1991 and is based in Kansas City, Missouri.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1991,,
Global WET,globalwet.com,"Global WET is a manufacturer's representative that deals with water and wastewater equipment for municipal and industrial clients. The company helps in identifying technologies for building or expanding related infrastructures. Global WET serves the municipal and industrial sectors with water and wastewater treatment solutions. It was founded in 2014 and is based in Austin, Texas.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,2014,,
Gierlich-Mitchell,gierlich-mitchell.com,"Gierlich-Mitchell is a manufacturers' representative firm specializing in the municipal water and wastewater industry. The company offers services such as equipment specification development, sales support, project management, and field services. Gierlich-Mitchell primarily serves the municipal water and wastewater sector, focusing on the California and Nevada markets. It was founded in 1964 and is based in Brea, California.",,,,,,United States,,,,,,,16.67%,Alive / Active,1964,,
GeoStarr,geostarr.com,"GeoStarr Inc. operates as a manufacturer's representative in various sectors, including environmental, geothermal, and municipal services. The company offers products for applications such as landfill management, golf and turf maintenance, agricultural needs, industrial uses, mining operations, and municipal water and sewer systems. GeoStarr Inc. serves sectors that require equipment and supplies for environmental, geothermal, and municipal infrastructure. It was founded in 1999 and is based in Hastings, Nebraska.",Wholesale,,,,,United States,,,,,,,0%,Alive / Active,1999,,
Goble Sampson,goblesampson.com,"Goble Sampson is a Manufacturers' Representative specializing in process equipment for Water and Wastewater Treatment. The company offers solutions for municipal water, wastewater, and energy markets. Goble Sampson primarily serves the municipal sector, providing equipment for water and wastewater treatment facilities. It is based in Salt Lake City, Utah.",,,,,,United States,,,,,,,12.50%,Alive / Active,,,
George A Israel Jr,gaiinc.com,"George A Israel Jr is a manufacturer’s representative and distributor in the HVAC sector, focusing on engineered products and specialties for pumping and boiler systems. The company offers products including pumps, heat exchangers, water heaters, and related hydronic and steam components, as well as application and specification services. George A Israel Jr serves various markets. It was founded in 1952 and is based in Jacksonville, Florida.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1952,,
IDC Associates,idcassociates.com,"IDC Associates is a manufacturer's representative firm specializing in hydronic and plumbing products within the heating and water heating industry. The company offers a diverse line of boilers, water heaters, and related accessories for commercial and industrial applications. IDC Associates primarily serves sectors such as hospitality, breweries and distilleries, educational institutions, and healthcare facilities. It was founded in 1953 and is based in Denver, Colorado.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1953,,
Inplant Sales,inplantsales.com,"Inplant Sales is a distributor and manufacturers' representative focusing on piping systems within the industrial sector. The company provides pipe fittings, valves, and associated piping materials, including ductile iron, carbon steel, stainless steel, and alloy products. Inplant Sales serves the water/wastewater and power industry sectors with fabrication services for piping systems. It was founded in 2000 and is based in Westminster, California.",Wholesale,,,,,United States,,,,,,,0%,Alive / Active,2000,,
Suntoya,suntoya.com,"Suntoya is a Manufacturer's Representative firm specializing in the plumbing and heating industry. The company offers services such as boiler and water heater startups, end-user training, on-site factory training, system design assistance, and continuing education classes. Suntoya primarily serves contractors, builders, engineers, and wholesaler distributors in the residential and commercial sectors. It was founded in 1954 and is based in Spokane, Washington.",Construction,,,,,United States,,,,,,,0%,Alive / Active,1954,,
System Specialties,systemspecialties.net,"System Specialties is a manufacturers' representative organization focused on engineered products within sectors including institutional, HVAC, and industrial markets. The company provides products such as boiler and hot water generating systems, steam specialties, control valves, automation packages, and specialty valves, serving mechanical contractors, consulting engineers, building trades, utilities, energy centers, and OEM markets. It is based in Middletown, Connecticut.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,,,
CPI Automation & Control Solutions,cpidenver.com,"CPI Automation & Control Solutions is an Electrical Distributor serving Colorado and the Rocky Mountain Region. CPI maintains a staff of engineers, application specialists, and sales representatives experienced in integrating automation and electrical control solutions for the OEM, oil and gas, solar, water and waste water, industrial control, HVAC, irrigation, mining, material handling and power distribution markets.",Electrical Product Distribution,,,,,United States,,Barr-Thorp Electric,,,,,0%,Acquired,,,
Mechler-Blass Associates,mechlerblass.com,"Mechler-Blass Associates is a manufacturer's representative firm in plumbing, HVAC, general contracting, and water conservation industries. The company offers products including plumbing systems, HVAC equipment, and water containment solutions to the architectural and engineering communities. Mechler-Blass Associates serves sectors focused on construction and building management. It was founded in 1982 and is based in San Antonio, Texas.",Wholesale,,,,,United States,,,,,,,0%,Alive / Active,1982,,
Saddleback Environmental Equip,saddlebackenviro.com,"Saddleback Environmental Equipment, Inc. functions as an equipment manufacturers' representative and distributor in the environmental sector, providing services related to water treatment and wastewater treatment. The company provides equipment sales, process and mechanical equipment design assistance, energy savings analysis, equipment start-up and training, and technical service and support. It is based in San Marcos, California.",,,,,,United States,,,,,,,0%,Alive / Active,,,
Southeast Industrial Sales,siscosales.com,"Southeast Industrial Sales Company is a manufacturers' representative and stocking distributor of valve products and engineered solutions within the flow control domain. The company provides on-site field service and training for their products, serving the power, water, process, and commercial HVAC sectors. It was founded in 1994 and is based in Jacksonville, Florida.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1994,,
Applied Physical Sciences Corporation,,"Applied Physical Sciences Corp. is a company that received a Department of Defense SBIR/STTR grant for a project entitled: Robust Deployable Acoustic Node (RDAN).  The abstract given for this project is as follows: Applied Physical Sciences Corp. working with L-3 Communications Maripro will develop a trawl-resistant, Robust Deployable Acoustic Node (RDAN). The RDAN technology will enable the U.S. Navy to install and operate acoustic underwater training ranges in shallow water environment to enhance fleet readiness. The acoustic sensor on the node will be specially designed to provide excellent acoustic fidelity as a tracking hydrophone while maintaining a relatively low profile to minimize risk from commercial fishing activities. The RDAN system will be deployable from vessels-of-opportunity rather than specialized cable laying ships. Commercialization within the U.S. Navy and the oil and gas industry will be pursued.

Applied Physical Sciences Corp. is a company that received a Department of Defense SBIR/STTR grant for a project entitled: Compact, Efficient Motor Controllers with Active Noise Cancellation.  The abstract given for this project is as follows: Most commercial motor controllers (MC's) operate at relatively low switching frequency that produces a detectable acoustic signature and therefore drives the Navy to procure MC's operating at higher frequencies in order to reduce acoustic signature. These custom MC's, however, still generate significant noise, are not sufficiently reliable, and have obsolete components. APS will develop an innovative active noise and vibration cancellation (ANVC) system to reduce the acoustic and vibration signatures of today's commercial MC's to levels that will not contribute to the host vehicle's acoustic vulnerability. The APS ANVC system will mitigate noise and vibration generated by multiple internal sources and transmitted to the hull by either structure-borne or air-borne paths. The system will be comprised entirely of COTS components thereby minimizing cost and facilitating technology refresh. Key products of Phase 1 include: ' Measurements on a representative COTS MC to provide engineering data essential to ANVC system design ' A preliminary design for the proof-of-principle system to be developed and demonstrated in Phase 2 that will obtain at least 90% (i.e., 10 dB) reduction in broadband noise power The Phase 2 proof-of-principle system will provide the basis for DT&E of an operational prototype in Phase 3. BENEFITS: According to the recent 'USSOCOM Technology Needs Briefing for Center of Excellence for Research in Ocean Sciences' prepared by PEO-Naval Systems, Advanced Maritime Systems, 'SOF combatant submersibles (CS) require lower cost HM&E technology for dry manned submersibles.' The proposed technology directly addresses this need. However, the application and benefits will extend far beyond noise mitigation for motor controllers for dry manned submersibles. Not only will the MC-ANVC technologies developed under this effort be widely applicable to noise mitigation of small to moderate size motor controllers in any noise-critical Naval platform, the technology will be generally applicable to any machinery or equipment that generates noise and vibration. Thus there is wide industrial as well as military application and benefit from this technology.

Applied Physical Sciences Corp. is a company that received a Department of Defense SBIR/STTR grant for a project entitled: Mobile Offshore Platform for Wind Turbine Power Generation.  The abstract given for this project is as follows: There is a Department of Defense need for a persistent, mobile power generating capability to service offshore bases and other temporary or mobile installations. In order to facilitate both persistence and mobility, the present concept is of a free floating wind turbine platform, convertible from generating mode to transit mode. Challenges to design of this concept include stability, seakeeping, convertibility, and dynamic positioning. The most significant challenge is to overcome the large aerodynamic drag which is necessarily associated with power extraction from the wind. With conventional thrusters, the power required to overcome the aerodynamic drag is larger than the power generated by the turbine up through moderate wind speeds. Lacking a mooring system to maintain position, alternative concepts to counter the drag must be considered to realize surplus power through a significant range of conditions. The proposed concept seeks to counter aerodynamic turbine drag with passive propulsion, utilizing the motion of the platform response in waves to generate hydrodynamic thrust. Dynamic positioning, required for the platform to maintain station within 25 feet, can include elements of passive propulsion in thrust vectoring to further reduce power consumption.

Applied Physical Sciences Corp. is a company that received a Department of Defense SBIR/STTR grant for a project entitled: High Fidelity Clutter Model for Active Sonar.  The abstract given for this project is as follows: Active sonar clutter usually appears on a display as an amalgamation of point scatterers that exhibit both object and individual reflective and kinematic behavior. We propose to demonstrate the feasibility of constructing a realistic active sonar clutter model based on a few generalized concepts to synthesize most clutter types observed on Mid- Frequency active sonars. Realism is achieved by using the statistics of known clutter object attributes obtained from existing databases. The clutter model uses superellipsoids to define basic building blocks. Each type of clutter block is populated with discrete point scatters. The population, density, scattering coefficient, velocity, and fading characteristics of the scatterers are described using the appropriate statistics. The acoustic propagation response function for each scatterer is obtained using a high fidelity acoustic model. A realistic time series of a clutter object echo is obtained by convolving the transmit waveform with the system, propagation and clutter object response functions. Because all the functions, save one, are represented as delta functions, this is not computationally intensive. The model includes the effects of own ship motion, the specific sonar design, waveforms, and acoustic propagation including attenuation and multipath arrivals. The clutter exhibits deterministic and stochastically dependent, spatial, temporal, and intensity characteristics.

Applied Physical Sciences Corp. is a company that received a Department of Defense SBIR/STTR grant for a project entitled: Uncertainty Estimation for Atmospheric Acoustic Propagation Prediction.  The abstract given for this project is as follows: The propagation of acoustic signatures from vehicles, aircraft, boats and artillery can have a significant impact on military operations. Specifically combatants need to reliably detect enemy acoustic signatures while at the same time concealing their own. The physical propagation environment, including surface and atmospheric parameters, may drastically alter the range at which an emitting object may be detected. There are currently several models for predicting these acoustic propagation effects based on atmospheric profiles and/or ground topography. Unfortunately these models are sensitive to errors in environmental inputs. We propose a method for estimating the uncertainty (variance) of the acoustic propagation prediction given the uncertainty in the environmental inputs. Advantages to this new method are (1) it fits within current Parabolic Equation (PE) marching algorithms and does not require a second stand-alone code and (2) it is computationally efficient. This would allow our forces to simultaneously predict both the acoustic propagation and its uncertainty. The algorithm used to calculate the uncertainty may also be used to determine the sensitivity of the sound field to the various individual environmental parameters which could aid (1) in acoustic environmental parameter inversion and (2) in the intelligent allocation of meteorological measurement resources.

Applied Physical Sciences Corp. is a company that received a Department of Defense SBIR/STTR grant for a project entitled: Ultra Low Frequency (ULF) Sonobuoy.  The abstract given for this project is as follows: During the Phase I Base Effort, an omni-directional hydrophone will be designed and tested for prospective use in a ULF sonobuoy application. The design will be based on a sensor that was previously developed for an unrelated ULF application, but will generally fit within design envelope of the AN/SSQ-53F calibrated omni. The Base Effort will also entail evaluation of three different hydromechanical suspension systems that are adaptations of the suspension system employed by the AN/SSQ-53F DIFAR sonobuoy. The overall sonobuoy system architecture will also be developed during the Base Effort and will largely be driven by the hydrophone and hydromechanical suspension system design. The Phase I Option will entail an in situ evaluation of the hydrophone and hydromechanical suspension system at ultra-low frequencies. A majority of the experiments will be performed at the Lapel Test Facility operated by USSI.

Applied Physical Sciences Corp. is a company that received a Department of Defense SBIR/STTR grant for a project entitled: Sonobuoy System and Concept of Operations for Time-Reversal-Based Target Detection.  The abstract given for this project is as follows: Existing multistatic airborne ASW systems require high power sources and are unable exploit the significant forward scattering target strengths due to the blinding presence of the direct blast. Time reversal (TR) is a recent method for focusing acoustic energy at a point using a pair of vertical line transducer arrays and offers the opportunity to exploit forward scattering from submarines. TR focusing can provide a measure of propagation channel stability, which provides a means for determining when the medium is disrupted as would occur when a scatterer such as a submarine passes between the two arrays. Moreover, because there is significant spatio-temporal focusing gain to be had with TR, there exists the opportunity to use lower power transmissions. Here we propose to determine the feasibility of a TR sonobuoy system for airborne ASW in the frequency band of a DICASS (AN/SSQ-62) sonobuoy and using vertical line arrays similar in dimension to a VLAD (AN/SSQ-77) sonobuoy. Operating at DICASS frequencies allows for achievable array apertures, exploits extremely high forward target strengths (> 50 dB) and improves the sensitivity of the TR. Post Phase I efforts would include implementing modifications to existing sonobuoy hardware for in-water demonstrations.

Applied Physical Sciences Corp. is a company that received a Department of Defense SBIR/STTR grant for a project entitled: An Interactive Acoustic Approach for Mitigation of Impacts on Marine Mammals.  The abstract given for this project is as follows: Applied Physical Sciences Corp. (APS) and its proposed subcontractor Applied Research Laboratory of the Pennsylvania State University (ARL/PSU) propose to develop a deployable marine mammal mitigation system. The system will use vector hydrophones to passively detect, track, classify, and localize vocalizing mammals. Using species identification, behavior recognition, and ranging, safe-level acoustic signals will be transmitted to encourage the animals to leave the operations area. Proof-of-concept experiments on captive animals will be performed in phase I, and once permitting is secured in phase II, an in-situ test will be performed on wild pods to demonstrate the effectiveness of a prototype system.

Applied Physical Sciences Corp. is a company that received a Department of Defense SBIR/STTR grant for a project entitled: Distributed Sensor System Innovations.  The abstract given for this project is as follows: The overall intent of this project is to produce cost-effective component technologies that will facilitate the development of compact sensing nodes which are utilized by deep submergence vector sensing line arrays. The principle application for this effort is targeted for the augmented reliable acoustic path vector sensing line array. In that regard, the Phase I study will develop a prototype compact vector sensor housing together with an integrated omni-directional pressure hydrophone that will (1) meet the electronic noise floor and submergence depth criteria imposed on the prototype device currently in production and (2) be produced at substantially lower costs than the prototype device. These components will be designed using the results from analytical modeling, numerical modeling, and proof-of-principle laboratory experiments. It should be stated that, while this SBIR Phase I project addresses the development of a compact vector sensor housing containing an integrated pressure hydrophone, APS plans to leverage the results from SBIR Topic N07-076 ""Naval Device Applications of Relaxor Piezoelectric Single Crystals"" to address the development of a compact pressure-gradient hydrophone. The results of both SBIR projects will be used together during Phase II in which a series of prototype vector sensors will be fabricated and tested.

Applied Physical Sciences Corp. is a company that received a Department of Defense SBIR/STTR grant for a project entitled: Naval Device Applications of Relaxor Piezoelectric Single Crystals.  The abstract given for this project is as follows: The overall intent of this project is to develop a series of miniature vector sensors for statically deployed and towed array applications. In each of these applications the sensor will be required to have an operational bandwidth commensurate with the passive ASW frequency range and an electronic noise floor below sea-state zero. In that regard, the Phase I study comprises of an evaluation to (1) determine which type of pressure-gradient hydrophone (i.e., either inertial or diffraction) is best suited for the application and (2) which single crystal transduction mode (i.e., extension or shear) is best suited for miniaturization. These tasks will be accomplished using analytical and numerical models along with proof-of-principle experiments. At the conclusion of Phase I a pre-prototype miniature biaxial vector sensor, suitable for submarine thin-line towed array applications, will be fabricated and tested. During Phase II, several application-specific miniature vector sensors will be fabricated and tested in laboratory and field environments to ascertain their performance under conditions that are consistent with those encountered in situ. The sensors developed during Phase II will contain integrated electronics.",Aerospace & Defense,,,,,United States,,U.S. Department of Defense,,Grant - VIII,8/10/2009,,0%,Alive / Active,,,
Franke Aquarotter - Aerospace Business,,"Franke Aquarotter is a sanitary specialist that operates a competence center for commercial construction water-engineering system solutions under the umbrella of Franke Water Systems. Development, production and administration as well as a representative training center are located together at the company's headquarters.",Manufacturing,Machine Tools & Accessories Manufacturing,,,,Germany,,TransDigm Group,,,,,0%,Acquired,,,
McIntosh Controls,mcintoshcontrols.com,"McIntosh Controls provides sensors and controls for level, flow, pressure, and temperature across various industries. The company offers products including switches, sensors, meters, regulators, transducers, and data logging services, serving sectors such as food and beverage, industrial, HVAC, water/wastewater, utilities, pharmaceutical, and petrochemical. McIntosh Controls operates as a manufacturers' representative and distributor. It was founded in 1993 and is based in Cedar Grove, New Jersey.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1993,,
